,Date,Team,Score,Opponent,Opponent Score,Location,Spread,OU,Win Percent
0,2023-11-24,Ohio,78.27473580886429,George Washington,72.8158049547643,1,5.4589308540999895,151.0905407636286,0.031
0,2023-11-24,Tennessee St.,70.82353780974746,Mercer,70.64179038503083,1,0.18174742471663308,141.4653281947783,0.473
0,2023-11-24,Brown,70.92295919232417,Delaware,70.00382432824361,1,0.9191348640805614,140.92678352056777,0.367
0,2023-11-24,Houston,80.56921421461537,Montana,57.56771851732981,0,23.001495697285563,138.1369327319452,0.0
0,2023-11-24,Longwood,71.31599484051793,Delaware St.,63.564836195836406,0,7.751158644681524,134.88083103635432,0.001
0,2023-11-24,Illinois,84.60098191233027,Western Illinois,58.397495108618344,0,26.203486803711925,142.9984770209486,0.0
0,2023-11-24,Alabama,76.7573857653314,Ohio St.,70.3957517529413,1,6.3616340123901125,147.1531375182727,0.01
0,2023-11-24,Penn,73.7530682106204,Lafayette,64.04359971888596,0,9.709468491734441,137.79666792950636,0.0
0,2023-11-24,Pacific,80.20291536256886,Le Moyne,61.22699609039499,0,18.97591927217387,141.42991145296384,0.0
0,2023-11-24,Fairfield,69.05761659208395,New Hampshire,64.27753125900878,0,4.780085333075164,133.33514785109273,0.052
0,2023-11-24,Connecticut,86.19059194673513,Manhattan,52.8295026761769,0,33.361089270558224,139.02009462291204,0.0
0,2023-11-24,UNC Greensboro,69.78415152291525,UMKC,60.67754826261621,1,9.106603260299039,130.46169978553147,0.0
0,2023-11-24,Pepperdine,71.22088802827382,New Mexico,82.3807988393566,1,-11.159910811082781,153.6016868676304,1.0
0,2023-11-24,Texas A&M Corpus Chris,74.82022164847545,LIU,67.78724001577878,1,7.032981632696675,142.60746166425423,0.037
0,2023-11-25,Wofford,66.92979862971991,UNC Asheville,73.05854357876974,1,-6.128744949049832,139.98834220848966,0.989
0,2023-11-25,Wagner,65.95181072152884,NJIT,63.24202018124505,0,2.709790540283791,129.1938309027739,0.207
0,2023-11-25,Binghamton,68.65527707599651,Army,66.47746417620313,0,2.1778128997933806,135.13274125219965,0.219
0,2023-11-25,Mount St. Mary's,67.9680783822696,Howard,68.4471058273127,0,-0.47902744504310135,136.4151842095823,0.57
0,2023-11-25,St. Bonaventure,77.60683824324637,Miami OH,63.54239707714493,0,14.064441166101439,141.1492353203913,0.0
0,2023-11-25,DePaul,78.03831349130554,Northern Illinois,67.0218006985938,0,11.016512792711751,145.06011418989934,0.0
0,2023-11-25,Northern Kentucky,75.54871185641181,LIU,62.884850579105674,0,12.66386127730614,138.4335624355175,0.0
0,2023-11-25,San Diego St.,74.11179991257926,California,63.839535405449304,1,10.272264507129954,137.95133531802855,0.0
0,2023-11-25,UTSA,79.47165780737207,Incarnate Word,65.6181245453248,0,13.853533262047264,145.0897823526969,0.0
0,2023-11-25,Alabama St.,62.740677094521054,Merrimack,65.6230127489769,1,-2.8823356544558507,128.36368984349795,0.831
0,2023-11-25,Lafayette,66.54188407465776,Monmouth,69.37710671768782,1,-2.8352226430300647,135.9189907923456,0.837
0,2023-11-25,Cleveland St.,74.84859572378508,Alabama A&M,62.165415842939616,0,12.683179880845465,137.0140115667247,0.0
0,2023-11-25,Central Arkansas,74.73502038216759,Eastern Michigan,71.0900289164751,0,3.6449914656924847,145.82504929864268,0.129
0,2023-11-25,SIU Edwardsville,76.12486867660141,Detroit Mercy,69.97101588401193,0,6.1538527925894755,146.09588456061334,0.046
0,2023-11-25,Little Rock,77.29181368078137,Tulsa,71.85425927520035,0,5.437554405581025,149.1460729559817,0.033
0,2023-11-25,George Mason,70.22866753708303,East Carolina,68.76567121273048,0,1.4629963243525452,138.9943387498135,0.304
0,2023-11-25,Samford,81.2110493344376,North Carolina A&T,61.50245881505248,0,19.708590519385126,142.71350814949008,0.0
0,2023-11-25,Bradley,71.29353942977224,Vermont,64.72754185509628,0,6.565997574675961,136.0210812848685,0.001
0,2023-11-25,William & Mary,70.1708891898082,UMBC,70.35096181808409,0,-0.18007262827589443,140.52185100789228,0.52
0,2023-11-25,Wichita St.,75.33244181241066,Norfolk St.,63.85072153162153,0,11.481720280789133,139.1831633440322,0.0
0,2023-11-25,Valparaiso,68.34222528037294,Southern,64.51276746273352,0,3.8294578176394225,132.85499274310646,0.084
0,2023-11-25,Charlotte,70.39856191608406,Georgia St.,64.94954738739426,0,5.449014528689801,135.34810930347834,0.036
0,2023-11-25,New Orleans,73.22488926911974,North Dakota,74.37036111936351,1,-1.1454718502437657,147.59525038848324,0.653
